Sample Name,Site,ARC,Season,Sample_dates,Pea_variety,Plot,season_precip,irrgation,total_precip_irr,sample_depth,Date,Tillage,prev_crop,grain_yield,elevation,lat,lon,Organic_Matter,Moisture_Content,Nitrate_Nitrite,Ammonia,Av_Phosphorus,Av_Potassium,Sulfate_Sulfur,pH,Boron,Arsenic,Barium,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Magnesium,Manganese,Molybdenum,Nickel,Phosphorus,Potassium,Sodium,Sulfur,Vanadium,Zinc
JZ032,Kalispell,NWARC,Summer,2016-summer,Delta,Irrigated,9.33,0,9.33,0_12,Summer 2016,Conventional,barley,5143,884,48.18,-114.13,5.6,13,27,1.6,11,78,2.7,7.5,0.36,38,290,1.5,13000,20,8,18,20000,38,9000,460,3.8,22,1000,2900,380,650,22,76
JZ031,Kalispell,NWARC,Summer,2016-summer,CDC Saffron,Irrigated,9.33,0,9.33,0_12,Summer 2016,Conventional,barley,5520,884,48.18,-114.13,5.8,15,24,1,12,78,2.2,7.5,0.32,38,210,1.5,9200,13,5.5,14,14000,38,6200,320,3.8,12,730,2100,380,450,16,52
JZ030,Kalispell,NWARC,Summer,2016-summer,AC Earlystar,Irrigated,9.33,0,9.33,0_12,Summer 2016,Conventional,barley,5297,884,48.18,-114.13,6.2,14,18,1.9,12,86,2.9,7.5,0.43,38,210,1.5,9200,13,6.8,13,14000,38,6000,330,3.8,14,740,2200,380,460,16,51
JZ034,Kalispell,NWARC,Summer,2016-summer,Majoret,Irrigated,9.33,0,9.33,0_12,Summer 2016,Conventional,barley,5024,884,48.18,-114.13,5.8,16,20,1.3,9.9,86,2.3,7.4,0.26,38,200,1.5,8300,12,6.8,13,14000,38,5900,300,3.8,14,690,2000,380,420,15,51
JZ033,Kalispell,NWARC,Summer,2016-summer,DS Admiral,Irrigated,9.33,0,9.33,0_12,Summer 2016,Conventional,barley,5699,884,48.18,-114.13,5.8,15,16,1.4,8.2,63,2,7.3,0.31,38,220,1.5,8800,13,7.3,13,15000,38,6200,340,3.8,14,700,2200,380,460,16,52
JZ035,Kalispell,NWARC,Summer,2016-summer,Navarro,Irrigated,9.33,0,9.33,0_12,Summer 2016,Conventional,barley,4364,884,48.18,-114.13,5.7,17,16,1.5,11,70,1.9,7.4,0.27,38,210,1.5,8300,13,5.1,13,15000,38,6200,330,3.8,13,740,2200,380,460,16,52
JZ040,Huntley Dryland ,SARC,Summer,8/5/2016,Delta,Dryland,8.79,0,8.79,0_12,Summer 2016,No_till,Chem_fallow,829,830,45.922,-108.244,1.4,11,4.8,4.3,9.9,220,3,7.3,0.38,38,160,1.5,11000,33,10,16,21000,38,7000,390,3.8,27,720,3200,380,280,44,74
JZ046,Huntley Dryland ,SARC,Summer,8/5/2016,Navarro,Dryland,8.79,0,8.79,0_12,Summer 2016,No_till,Chem_fallow,467,830,45.922,-108.244,1.3,9.4,5.2,2.8,9.5,220,3.3,7.2,0.41,38,170,1.5,11000,31,9,16,21000,38,6800,400,3.8,25,630,3300,380,260,44,69
JZ042,Huntley Dryland ,SARC,Summer,8/5/2016,DS Admiral,Dryland,8.79,0,8.79,0_12,Summer 2016,No_till,Chem_fallow,716,830,45.922,-108.244,1.2,8.4,4.6,3.2,9.8,200,2.3,7.4,0.4,38,160,1.5,13000,30,9.4,14,21000,38,6800,400,3.8,28,630,3100,380,280,43,69
JZ044,Huntley Dryland ,SARC,Summer,8/5/2016,Majoret,Dryland,8.79,0,8.79,0_12,Summer 2016,No_till,Chem_fallow,693,830,45.922,-108.244,1.2,13,3.9,2.3,9.7,210,2.5,7.3,0.45,38,150,1.5,9300,28,8.9,14,19000,38,6200,370,3.8,23,560,3000,380,210,40,64
