otu_id	JZ017	JZ018	JZ019	JZ020	JZ021	JZ022	JZ023	JZ024	JZ025	JZ026	JZ027	JZ028	JZ029	JZ030	JZ031	JZ032	JZ033	JZ034	JZ035	JZ036	JZ037	JZ038	JZ039	JZ040	JZ041	JZ042	JZ043	JZ044	JZ045	JZ046	JZ047	JZ048	JZ049	JZ050	JZ051	JZ052	JZ053	JZ054	JZ055	JZ056	JZ057	JZ058	JZ059	JZ060	JZ061	JZ062	JZ063	JZ064	JZ065	JZ066	JZ067	JZ068	JZ069	JZ070	JZ071	JZ072	JZ073	JZ074	JZ075	JZ076	JZ077	JZ078	JZ079	JZ080	JZ081	JZ082	JZ083	JZ084	JZ085	JZ086	JZ087	JZ088	JZ089	JZ090	JZ091	JZ092	JZ093	JZ094	JZ095	JZ096	JZ097	JZ098	JZ099	JZ100	JZ101	JZ102	JZ103	JZ104	JZ105	JZ106	JZ107	JZ108	JZ109	JZ110	JZ111	JZ112	JZ113	JZ114	JZ115	JZ116	JZ117
OTU1	21	32923	48199	22	117	103	147	4054	5597	246	12418	6072	73	111	124	118	84	96	125	142	1563	82	215	49	2943	201	406	191	1154	211	142	107	554	5309	72	196	136	31982	46771	72641	51071	43480	73493	33146	39133	40862	19211	38637	23380	29413	731	33465	47297	77930	50775	147	43210	30279	13698	15547	31505	65	17503	5779	6755	4486	9147	41918	44857	48408	49899	12503	816	3488	2881	57	517	3218	2432	14	4	16	29	39	91	43	815	473	157	38	412	37	44	46	25	29	26	65	126	49	123
OTU2	35281	5	15	1075	101	1335	26249	376	1705	256	268	287	15207	9049	151	36	3696	186	676	12964	425	110	2926	6048	19	107	6649	13823	14745	5603	6428	17263	17694	19879	239	48234	42691	123	45	44	148	18	35	22	18	17	164	25	14	9930	13	36	32	39	50	762	21	18	21422	10588	4775	54	240	251	2667	178	254	7433	6045	13568	7911	6970	23996	9165	3067	6440	3182	1335	9345	8692	536	2411	13049	4866	8	15378	5426	9574	10781	16963	17205	1624	864	336	4072	93	2695	1050	40	5800	239
OTU3	11	14	13	49	20	48	9	8	16	9	6	684	33	4539	5498	58742	402	2354	3012	676	1704	228	12315	212	4847	34	3426	113	7646	28	5212	25410	399	398	424	9	92	12	12	10	10	1	8	10	3	4	5	6	3	35	3	2	4	9	8	65	47	145	125	375	36	75725	3885	5259	3840	8805	4526	22	35	3	23	11	9	18	29	40	17	10	5	396	118	130	168	200	2537	9646	3	32	9729	223	12221	800	27705	2040	8278	3268	496	8	2	10	3
OTU4	80	4	14	2576	144	136	150	129	29299	77807	42491	57957	82	90	109	51	275	3542	9873	105	2800	16620	2037	6985	34	32237	16827	112	131	36831	5910	184	226	89	90	295	241	25985	47	33	35049	16	32	29	28	44	55295	52	20	6564	15	7702	34	33	30	38164	29	21	138	74	43	14467	39133	8960	32090	19144	39207	75	59	79	66	46	95	2743	1573	23312	3934	21671	13795	36	9	22	69	79	11	103	16533	27726	23590	5404	113	137	82	125	62	86	78	29	14411	59	78600
OTU5	6	2	7	146	749	526	432	1115	13256	0	0	3	1	55	82	415	37	28	80	32	4348	348	6717	13	11006	158	7729	3	9146	147	11527	10	1	156	6	6	0	1	3	21	21	13	15	4	6	3	2	1	3	2	0	2	2	3	5	4	3	3	8	5	3	6	4	1	2	1	1	4	12	2	5	0	2	7028	5181	3620	4723	5532	5121	214	2	5	13	6	11	2	2	11	11	0	6	130	49	188	608	708	87	14	3	14	9
OTU6	19317	11274	799	748	1532	348	32	21	28	2517	130	903	22592	301	381	185	98	12	323	51	372	52	366	49	565	63	489	139	953	74	898	10356	5995	7572	6647	20876	21104	1486	6435	14	17	469	1061	2	611	565	1036	6941	1418	12	219	892	835	299	369	9555	7544	3804	4416	20283	11621	204	709	147	3044	692	166	19	11	8	6	9	7	6	8	1	33	31	4	582	252	884	882	245	6	4220	564	2658	3489	1381	669	1504	168	1611	206	1491	431	3640	64	2	7
OTU7	5	324	30353	521	4635	330	22596	1564	229	595	7760	6565	6712	53	41	41	30	60	74	115	1823	131	569	157	337	106	218	298	239	34	456	8757	165	16	25	30	21	24685	9690	1436	39458	1366	5665	4662	10291	2859	13119	6321	14026	5429	7562	9947	2028	1135	14320	24	1916	778	10218	7120	145	486	100	580	14	3728	15	1120	1800	15	5550	670	11	82	96	91	95	50	228	2638	4	6	115	4	1026	1660	270	173	19	59	13	507	25	40	18	35	71	53933	776	63896	12
OTU8	276	15	13	306	347	99	20	1728	6	6755	11	829	19	422	80	57	508	230	295	4623	13	8797	35	7910	50	13781	56	14357	26	11375	141	38	253	17	21	492	50	27	22	8	18	6	14	1	7	4	24	20	6	10	5	11	10	7	11	58	28	437	223	209	34	200	1454	1786	852	1277	3672	74	67	13	13	20	9	10	14	8	8	9	12	692	608	528	1910	850	875	2338	4494	9533	12557	13714	10295	1405	202	770	164	1372	826	4892	1472	42	2382
OTU9	0	0	0	0	0	0	2	2	11028	2	1	1	1	37	19	42	26	35	38	3	5	1	1	1	2	0	1	2	1660	1	1	0	0	3	0	1	1	3	1	1	2	0	1	1	0	1	0	2	1	0	0	2	3	1	3	1	1	1	0	0	0	0	0	2	14	9	15	24	22	25	17	17	7	7417	51620	39471	56143	24138	28584	4610	0	8	8	2	10	21	10	5	13	14	12	10	14	18	11	23	10	11	5	19	10
OTU10	5	1	4	5	16	13	3787	18	16	72	67	21	10	15	21	16	21	18	22	6640	10	8299	11	9111	23	21038	6	60289	20	14069	22	14	3	6	9	15	8	13	19	12	17	7	13	11	18	7	10	16	22	17	27	14	20	17	9	16	12	6	4	16	8	4	14	10	10	5	10	10634	590	20781	5398	27370	10033	8	10	9	7	9	11	6	3	1	9	4	3	5	3	20	11	6	9	8	5	3	7	7	6	16	6	13	4
OTU11	11	17	150	70	186	881	67	39	6291	10	36	62	39	8	10	12	6	9	11	34	4112	27	15750	5	8754	5	4385	10	3231	19	4856	86	7	2	7	6	4	113	52	16	157	17	39	14	40	18	49	30	50	47	23	40	18	14	47	1	22	20	78	66	3	8	4	19	1	39	2	25	29	2	59	5	1	847	920	782	306	753	7492	34	2	0	1	0	16	28	4	5	1	2	4	1568	4	100	2	7	53	345	1	47	8
OTU12	0	0	0	0	13	20	9	8	16	11	15	12	5	30964	30113	9424	25163	16986	19994	5	8	11	32	2	21	8	16	16	13	11	25	8	10	5	8	5	9	12	11	7	20	6	3	2	9	3	12	7	6	4	6	7	2	8	6	13	4	5	6	10	2	4	13	8	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU13	71	3	9	8646	23	5821	4	5	905	26	28	20	4	7	9	4	19	8	32	3	7	11	123	6	86	13	21	3	5	26	76	23	26	16	15	17	12	9	0	3	18	0	0	0	0	1	14	0	1	17	1	1	0	2	1	29	0	0	1	3	1	4	22	34	84	66	98	26	23	71	23	34	938	6265	6145	7228	765	566	3761	21	5	18	39	35	3	45	54	88	92	2764	60	10189	5763	21644	7690	6059	5452	14	18	19	116
OTU14	1	7	16	5	12	16	17	20	28	8265	39	551	4	12	12	9	12	10	8	6859	9	2427	15	9	962	13138	19	10102	35	8814	12	12	27	10	5	15	9	8302	78	60	62	49	44	44	47	39	23	33	33	28	36	38	3107	74	38	11	39	31	21	41	29	6	39	1208	38	2566	1191	78	76	60	62	13	3	46	21	16	9	20	17	6	5	1961	3	4785	14	3250	3934	190	4	5	23	4	3	9	2	3	5	10	5	5	18
OTU15	2	0	0	328	4	43	8663	5	98	7	6	1	0	0	0	0	34	3	0	4	1	0	3	1	108	0	1	0	1	2	0	0	5	1	0	3	5636	3	1	0	1	0	0	0	0	0	4	0	1	0	0	1	1	3278	2	0	0	0	1	0	0	2	3	1	4	10	6	17236	15112	7334	20920	378	2688	9	326	7	4	283	22	416	92	69	521	658	5155	2	2	2	4	7	2	335	15	205	2	1256	2	5	2	9	12
OTU16	23	7	22	24	15	20	1	3	6	1	1	3	1	337	203	85	5314	283	1858	4	506	6	56	1	73	2	19	3	57	58	42	0	25	0	2	3	1	0	2	1	3	0	1	1	0	1	2	0	1	0	0	2	0	2	0	1	2	3	1	0	1	0	1	0	1	0	6	2	3	1	1	2	1	34	15	2	51	8	6	2	1	0	0	0	2	5745	1	0	3	17	1146	5	4	8	2	138	1	2	1	2	2
OTU17	11	4	7	7	2	377	0	5	5285	2	31	1	2	3	0	0	0	1	348	2	0	0	234	1	4	4	5	2	2	1	7	0	1	1	0	3	0	0	0	0	5	0	0	1	0	0	1	0	0	0	0	0	3	0	2	0	1	2	0	0	0	2	2	1	1	1	2	0	2	3	9	0	0	750	0	1	519	3	11	1	0	0	0	0	0	1	3	1	0	1	1	3	194	1	6	7864	4	6	0	2	1
OTU18	2	2	6	10	3	0	0	0	3	0	0	99	0	0	75	2	50	1	25	0	3	0	0	58	3	7	1	0	5	1	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	6	5	3	0	0	0	47	94	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	2	3	1	1	0	2	1	0	0	0	0
OTU19	5	3	4	57	69	31	2	10565	1053	7	3	15	2	2	0	1	6	4	8	43	30	1	18	0	262	5	71	4	40	4	12	26	6	0	0	218	0	7	5	11	10	1	2	3	5	0	4	2	7	2	2	3	3	6	4	2	2	31	3	0	3	1	7	9	232	20	196	148	53	26	163	7	3	4860	22	23	20	22	7787	112	3	1	7	18	6621	13	37	41	55	1768	25	7	60	36	7	556	33	16	5	3	10
OTU20	4	2	0	14819	0	449	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	4	1	7	0	1	0	1	0	0	1	3	17	76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	1	4	10	11	6	10	28	2	4	4	5	2	5	5	0	299	3	3	1235	20723	3	2	6	5	5	3	2556	9060	8	20	671	1824	15	1	7	2
OTU21	4	2	1	7	25	8	5	2008	24	3	0	5	4	8	14	7	7	6	13	21	424	62	927	83	3456	211	4291	29	3325	48	2410	6	4	1	4	5	5	3	3	1	3	1	2	0	17	1	5	1	1	0	1	1	1	1	2	20	4	7	3	11	3	3	6	2	0	0	0	2	0	0	0	0	0	0	0	0	2	17	88	0	0	0	1	1	0	0	1	0	0	0	0	3	0	2	0	2	0	0	0	0	1
OTU22	2	6	10	16	2	110	9897	1050	7	2136	9	35	1	3	4	0	2	1	1	5	1	8	23	113	4	231	55	9	23	65	0	2	2	0	2	1	2	17	18	18	11	6	15	14	17	4	3	15	7	4	2	5	609	14	10	2	9	6	4	6	4	321	16	12	749	355	216	4166	8709	3751	1625	830	965	145	15	6	9	341	16	4	92	5	282	233	1635	408	622	2003	434	1391	910	4	2	5	352	2	9	775	554	6	6
OTU23	2	4	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
OTU24	0	0	0	0	12	18	2	2	7	2	8	8	2	149	94	146	15879	6036	32180	3	7	7	22	3	13	4	9	8	16	3	15	6	6	8	2	5	3	7	3	8	7	4	3	5	7	7	3	5	6	2	1	1	5	9	5	2	2	6	5	0	8	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
